,First choice,Second choice,Third choice
0,Little Women ,Dirty Dancing ,The Silence of the Lambs 
1,Say Anything ,Little Women ,Shrek (Full-screen) 
2,You've Got Mail ,Mars Attacks! ,Willy Wonka & the Chocolate Factory 
3,Lethal Weapon 4 ,Blazing Saddles ,My Life 
4,You've Got Mail ,Shrek (Full-screen) ,Confessions of a Dangerous Mind 
5,Shrek (Full-screen) ,Shrek (Full-screen) ,Entrapment 
6,Dirty Dancing ,Unforgiven ,Shrek (Full-screen) 
7,Men in Black II ,Ray ,Mission: Impossible II 
8,Entrapment ,Little Women ,The Exorcist 
9,Say Anything ,Lethal Weapon 4 ,Ray 
10,Lean on Me ,Willy Wonka & the Chocolate Factory ,Beetlejuice 
11,Mean Girls ,The Fifth Element ,Ray 
12,Swordfish ,Final Destination ,Mean Girls 
13,The Silence of the Lambs ,Planet of the Apes ,Say Anything 
14,XXX: Special Edition ,The West Wing: Season 1 ,Lost in Translation 
15,Ray ,Mars Attacks! ,Swordfish 
16,Swordfish ,XXX: Special Edition ,Little Women 
17,Men in Black II ,I ,XXX: Special Edition 
18,Men in Black II ,Mars Attacks! ,Shrek (Full-screen) 
19,XXX: Special Edition ,Men in Black II ,Lost in Translation 
20,Ray ,Dirty Dancing ,The West Wing: Season 1 
21,Beetlejuice ,Men in Black II ,Unforgiven 
22,Ray ,Mean Girls ,Swordfish 
23,Willy Wonka & the Chocolate Factory ,Lost in Translation ,Confessions of a Dangerous Mind 
24,Mean Girls ,Mission: Impossible II ,Lethal Weapon 4 
25,Swordfish ,Lethal Weapon 4 ,Beetlejuice 
26,The Silence of the Lambs ,Lethal Weapon 4 ,Shrek (Full-screen) 
27,Shrek (Full-screen) ,The Exorcist ,Dirty Dancing 
28,I ,Lethal Weapon 4 ,The Fifth Element 
29,Shrek (Full-screen) ,Final Destination ,Shrek (Full-screen) 
30,Shrek (Full-screen) ,Men in Black II ,Beverly Hills Cop 
31,Entrapment ,Shrek (Full-screen) ,Shrek (Full-screen) 
32,Planet of the Apes ,Willy Wonka & the Chocolate Factory ,Shrek (Full-screen) 
33,Ray ,The Silence of the Lambs ,Down With Love 
34,Lethal Weapon 4 ,The West Wing: Season 1 ,The Exorcist 
35,Little Women ,Little Women ,Say Anything 
36,Confessions of a Dangerous Mind ,Dirty Dancing ,Unforgiven 
37,Ray ,Say Anything ,You've Got Mail 
